sistema,num_cicloestacion,nombre,calle_principal,calle_secundaria,colonia,alcaldia,latitud,longitud,tipo_ce,candados
ECOBICI,310,Calle 1 - Patriotismo,Calle 1,Patriotismo,San Pedro de los Pinos,BENITO JUAREZ,19.395322,-99.181667,3G,15
ECOBICI,311,Calle 5 - Avenida Revolución,Calle 5,Avenida Revolución,San Pedro de los Pinos,BENITO JUAREZ,19.393665,-99.185391,3G,18
ECOBICI,312,Avenida 2 - Calle 7,Avenida 2,Calle 7,San Pedro de los Pinos,BENITO JUAREZ,19.392634,-99.183737,4G,27
ECOBICI,313,Pensilvania - Oklahoma,Pensilvania,Oklahoma,Nápoles,BENITO JUAREZ,19.391431,-99.178989,3G,24
ECOBICI,314,Nueva York - Louisiana,Nueva York,Louisiana,Nápoles,BENITO JUAREZ,19.391647,-99.177331,3G,21
ECOBICI,315,Alabama - Montana,Alabama,Montana,Nápoles,BENITO JUAREZ,19.391472,-99.1736,3G,21
ECOBICI,316,San Francisco - Concepción Beistegui,San Francisco,Concepción Beistegui,Del Valle Norte,BENITO JUAREZ,19.391056,-99.1712,3G,27
ECOBICI,317,Avenida Coyoacán - Torres Adalid,Avenida Coyoacán,Torres Adalid,Del Valle Norte,BENITO JUAREZ,19.391456,-99.166157,4G,36
ECOBICI,318,Luz Saviñón - Amores,Luz Saviñón,Amores,Del Valle Norte,BENITO JUAREZ,19.392195,-99.163987,3G,21
ECOBICI,319,Diagonal San Antonio - Luz Saviñón,Diagonal San Antonio,Luz Saviñón,Del Valle Norte,BENITO JUAREZ,19.391991,-99.162684,3G,27
ECOBICI,320,Enrique Rébsamen - Luz Saviñón,Enrique Rébsamen,Luz Saviñón,Narvarte Poniente,BENITO JUAREZ,19.391323,-99.15936,3G,18
ECOBICI,321,Torres Adalid - Anaxágoras,Torres Adalid,Anaxágoras,Narvarte Poniente,BENITO JUAREZ,19.389477,-99.157513,3G,24
