id,punto_lev,id_unico,folio,calle_lev,calle_1,calle_2,resul,f1,p1,munori,p2_col,p2_ref1,p2_ref2,p3,mundes,p4_col,p4_ref1,p4_ref2,p5,p6,p7_hr,p7_min,p8_hr,p8_min,p9,p9_1,p10,p11,p11_1,p12,p13,p14_1,p14_2,p14_3,p14_4,p15,p16_1,p16_2,p16_3,p16_4,p16_5,p16_6,p16_7,p16_8,p17,p17_1,p17_2,p17_3,p18,p19,p20,p21_nivel,nivel,p21_ano,p22,p23,p23_1,p24,p24_1,p25,p26_1,p26_2,p26_3,p26_4,p26_5,p26_6,p26_7,p26_8,p27,factor
0,11,103,6,CAMINO VIEJO A MIXCOAC,3RA CERRADA TORRES TEPITO,2DA CERRADA TORRES TEPITO,1,48,2,9010,SAN BARTOLO,,,1,9010,SAN BARTOLO,,,5,2,17,30,17,55,2,0.0,,2,0.0,,2.0,2,1,1,2,3,2,1,2,2,1,1,2,2,1,2.0,3.0,2.0,1,1.0,1,4,3,3,60,5000,3,1,2,4,2,2,1,2,2,2,2,1,4,30.26
1,9,75,2,VASCO DE QUIROGA,POLVORA,,1,35,1,9010,LA MEXICANA,,,3,9010,NO RECUERDA,,,2,9,10,40,11,5,2,0.0,,2,0.0,,1.0,3,4,4,4,10,1,2,2,2,1,2,1,2,1,1.0,3.0,2.0,2,,1,9,5,1,200,30000,6,1,2,4,2,2,1,2,2,2,2,2,4,26.72
2,9,79,5,VASCO DE QUIROGA,POLVORA,,1,43,2,9010,MEXICANA,,,2,9010,SANTA FE,,,4,1,11,45,11,55,2,0.0,,2,0.0,,1.0,4,4,4,4,10,2,2,2,2,1,2,2,2,1,2.0,9.0,1.0,2,,1,3,1,4,170,8000,4,1,2,2,2,2,2,2,2,2,1,2,4,26.72
3,8,70,5,POSTA,STA LUCIA,,1,54,1,9010,AMPLIACION PILOTO,,,7,9010,COLINA DEL SUR,,,4,9,14,2,14,20,1,1.0,4.0,2,0.0,,1.0,4,4,4,4,3,2,2,2,2,2,2,2,2,2,,,,2,,1,4,3,3,800,999999,4,1,2,1,2,2,2,2,2,2,2,2,3,73.07
4,18,145,2,CALZADA DE LOS LEONES,CALZADA DE LOS LEONES,5 DE MAYO,1,35,1,9010,BOSQUE DE TARANGO,,,4,9010,SAN ANGEL,,,4,4,9,32,10,16,2,0.0,,2,0.0,,1.0,1,1,2,2,10,2,1,2,2,1,2,1,1,1,2.0,2.0,2.0,2,,1,8,5,5,600,12000,5,1,2,4,2,2,2,2,2,2,2,2,4,224.51
5,19,156,6,AV. DE LAS CULTURAS,CULTURA GRIEGA,,1,25,1,15104,LOS REYES DE IXTACALA,,,2,9002,CD. VALLE,,,2,1,9,0,9,40,2,0.0,,2,0.0,,2.0,4,4,4,4,10,1,1,2,2,2,1,2,2,2,,,,2,,1,5,4,3,500,4000,3,1,2,1,2,2,1,2,2,2,2,1,6,71.66
6,12,113,9,,AV RENATO LEDUC,SILLON DE MENDOZA,1,28,7,9012,SAN LORENZO,,,2,9012,TORILLO GUERRA,,,4,1,14,50,15,3,2,0.0,,2,0.0,,1.0,4,4,4,4,1,2,2,2,2,1,1,1,2,2,,,,2,,1,8,5,4,300,5000,3,1,2,3,2,2,2,2,2,2,2,2,4,30.31
7,21,219,18,FAJA DE ORO,CERRO AZUL,,1,21,3,15057,,CCH NAUCALPAN,,1,9002,CAMARONES,,,9,2,18,30,20,0,1,1.0,1.0,1,1.0,6.0,1.0,1,1,3,3,1,2,2,2,2,1,2,2,2,1,1.0,3.0,2.0,1,1.0,1,5,4,3,100,999999,3,1,2,1,2,2,2,2,2,2,2,2,5,25.29
8,21,212,11,FAJA DE ORO,CERRO AZUL,,1,18,1,9002,PETROLERA,PUESTO DE COMIDA,,2,9002,PETROLERA,,,4,1,15,1,15,25,1,2.0,2.0,2,0.0,,1.0,1,2,3,3,9,2,2,2,2,1,2,2,2,2,,,,1,1.0,1,5,4,3,100,999999,3,1,2,1,2,2,2,2,2,2,2,1,5,25.29
9,21,211,10,FAJA DE ORO,CERRO AZUL,,1,61,1,9002,REYNOSA,,,2,9002,PETROLERA,,,4,1,13,38,13,55,2,0.0,,2,0.0,,1.0,1,1,1,1,1,1,1,2,2,1,1,2,1,1,3.0,6.0,2.0,1,1.0,1,4,3,3,50,1500,2,1,2,2,1,1,2,2,2,2,2,2,4,25.29
10,21,203,2,FAJA DE ORO,CERRO AZUL,,1,50,1,9002,SAN JUAN TLIHUACA,,,4,9002,PETROLERA,,,4,4,7,40,8,7,2,0.0,,2,0.0,,1.0,4,4,4,4,2,2,1,2,2,1,1,2,1,2,,,,2,,1,5,4,3,50,999999,9,1,2,1,1,2,2,2,2,2,2,2,6,25.29
11,21,214,13,FAJA DE ORO,CERRO AZUL,,1,42,1,9002,PETROLERA,,,2,9002,PETROLERA,,,4,1,16,0,16,15,2,0.0,,2,0.0,,1.0,4,4,4,4,1,2,2,2,2,2,2,2,2,2,,,,2,,1,3,2,6,100,999999,9,1,2,2,1,2,2,2,2,2,2,2,6,25.29
12,21,207,6,FAJA DE ORO,CERRO AZUL,,1,39,1,9002,TEZOZOMOC,AV. AQUILES,,2,9002,SAN PEDRO,,,3,1,11,6,11,45,1,1.0,2.0,2,0.0,,1.0,1,2,3,2,7,2,1,2,2,1,2,1,1,2,,,,1,1.0,2,4,3,3,50,999999,3,1,2,1,2,2,1,2,2,2,2,2,5,25.29
13,20,196,25,EL ROSARIO,AQUILES SERDAN,,1,57,1,9002,TIERRA NUEVA,,,7,9002,,PARQUE TEZOZOMOC,,1,6,11,15,11,25,2,0.0,,2,0.0,,2.0,1,1,1,1,10,1,1,2,2,1,1,2,1,1,2.0,9.0,1.0,2,,2,8,5,5,999999,999999,9,1,2,4,1,2,2,2,2,2,2,2,6,26.05
14,19,168,18,AV. DE LAS CULTURAS,CULTURA GRIEGA,,1,21,3,9002,EL ROSARIO,,,1,9002,LOS REYES,,,2,2,13,31,13,42,2,0.0,,2,0.0,,2.0,2,3,2,2,8,2,1,2,2,2,1,2,2,1,1.0,3.0,2.0,2,,2,8,4,3,200,8000,4,1,2,1,2,2,2,2,1,2,2,1,6,71.66
15,24,273,6,AV. DE LAS GRANJAS,ANTIGUA CALZADA GUADALUPE,PRIVADA TLATENCO,1,25,1,9005,FOERESTAR,,,2,9002,FERRERIA,RASTRO,,4,1,6,0,8,0,2,0.0,,2,0.0,,2.0,3,2,4,4,6,2,1,2,2,1,2,2,2,1,2.0,7.0,1.0,2,,1,5,4,3,100,999999,2,1,2,2,1,2,2,2,2,2,2,2,6,37.55
16,22,230,8,CAMINO A NEXTENGO,DEMOCRACIAS,PROVIDENCIA,1,43,4,9002,SANTIAGO AHIZOTLA,,,1,9002,SAN MIGUEL AMANTLA,,,5,2,9,10,9,25,2,0.0,,2,0.0,,2.0,4,4,1,1,10,2,1,2,2,1,2,2,1,2,,,,2,,2,5,4,3,250,3000,2,1,2,4,2,2,2,2,2,2,2,2,4,36.41
17,27,356,12,AV. CUITLAHUAC,EGIPTO,NORTE 79-A,1,19,2,9016,POPOTLA,CERCA DEL PARQUE,SAN ALVARO,5,9002,OBRERA POPULAR,OXXO,,1,1,11,15,12,0,1,3.0,3.0,1,3.0,7.0,1.0,1,2,9,8,7,1,2,2,2,1,2,2,1,2,,,,2,,1,5,4,3,50,999999,1,4,2,1,1,2,2,2,2,2,2,2,3,43.95
18,26,325,7,CAMARONES,ALLENDE,HELIOPILOS,1,18,1,9002,OBRERA POPULAR,MAXIMO,,3,9002,SANTA BARBARA,,,1,3,11,15,11,30,2,0.0,,1,1.0,7.0,1.0,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3.0,3.0,2.0,1,1.0,1,4,3,3,100,999999,3,1,2,1,2,2,1,2,2,2,2,2,6,38.51
19,27,361,17,AV. CUITLAHUAC,EGIPTO,NORTE 79-A,1,20,4,9002,CLAVERIA,PATIO CLAVERIA,,1,9002,CLAVERIA,OXXO EGIPTO,,5,2,13,40,14,10,2,0.0,,2,0.0,,2.0,1,4,3,4,7,2,2,1,2,1,2,2,2,2,,,,2,,1,5,4,3,200,5000,3,1,2,1,2,2,1,2,2,2,2,1,3,43.95
20,31,454,25,CALZADA ERMITA IZTAPALAPA,ERMITA,PLUTARCO ELIAS CALLES,1,21,2,9014,DEL VALLE,SANCHEZ AZCONA,EJE 7,1,9007,PRADO CHURUBUSCO,CRUZ DEL SUR,LIBRA,3,2,16,30,17,5,2,0.0,,2,0.0,,2.0,1,1,1,1,2,2,1,2,2,1,1,2,1,1,2.0,7.0,1.0,1,1.0,2,5,4,3,150,9000,4,1,2,1,1,2,2,2,2,2,2,2,6,49.1
21,31,445,16,CALZADA ERMITA IZTAPALAPA,ERMITA,PLUTARCO ELIAS CALLES,1,24,2,9007,PROGRESO DEL SUR,CAMPESINOS,CENTENO,2,9007,ERMITA,ERMITA,PLUTARCO ELIAS CALLES,4,1,13,20,13,45,2,0.0,,2,0.0,,1.0,1,1,2,1,3,2,2,2,2,2,1,2,2,2,,,,1,1.0,1,7,4,2,50,4500,3,1,1,1,1,2,2,2,2,2,2,2,6,49.1
22,31,439,10,CALZADA ERMITA IZTAPALAPA,ERMITA,PLUTARCO ELIAS CALLES,1,49,2,9007,BANJIDAL,PLUTARCO ELIAS CALLES,,4,9014,XOCO,PARROQUIA,UNIVERSIDAD,3,4,11,0,11,30,2,0.0,,2,0.0,,2.0,1,1,2,1,7,1,1,2,1,1,1,2,1,2,,,,1,1.0,2,7,4,2,150,15000,5,1,2,1,1,2,2,2,2,2,2,2,6,49.1
23,33,471,8,ISABEL LA CATOLICA,NIÐOS HEROES,,1,55,2,9014,JOSEFA O DE DOMINGUEZ,,,2,9014,NIÐOS HEROES,CUMBRE DE MALTRADA,,4,8,11,8,12,45,2,0.0,,2,0.0,,1.0,4,4,4,1,1,2,2,2,2,2,2,2,2,2,,,,2,,1,3,2,6,100,2400,2,1,2,2,2,2,2,2,2,2,2,2,4,68.81
24,37,2317,3,INDEPENDENCIA,MITLA,,1,69,1,9014,INDEPENDENCIA,ZEMPOALA,MITLA,2,9014,LETRAN VALLE,CUICUILCO,MONTUZINTLA,5,8,9,35,10,40,2,0.0,,2,0.0,,1.0,3,2,4,4,2,2,2,2,2,1,2,2,2,2,,,,1,1.0,1,4,3,3,50,6000,3,1,2,2,1,2,2,2,2,2,2,2,3,28.71
25,118,1836,10,AV. MICHOACAN,SUR 27,,1,28,2,9007,CENTRAL DE ABATOS,,,1,9007,IZTAPALAPA,SILVESTRE AGUILAR,GERZAIN URGARTE,5,2,18,45,19,30,2,0.0,,2,0.0,,2.0,3,3,4,3,10,2,2,2,2,1,1,2,2,1,2.0,9.0,1.0,2,,1,4,3,3,100,7400,4,1,2,4,2,2,1,2,2,2,2,2,6,148.34
26,120,1873,15,AV GUELATAO,TRANSPORTISTAS,,1,34,4,9007,TEPALCATES,,,1,9007,PEÐON VIEJO,,,5,2,15,45,16,0,2,0.0,,2,0.0,,2.0,4,4,4,4,1,1,2,1,2,1,1,2,2,1,1.0,1.0,2.0,2,,1,4,2,2,700,999999,3,1,2,1,2,1,1,2,2,2,2,1,4,51.27
27,120,1868,10,AV GUELATAO,TRANSPORTISTAS,,1,20,1,9007,EJERCITO DE AGUA PRIETA,,,2,9007,ALVARO OBREGON,,,4,1,12,30,12,45,2,0.0,,2,0.0,,1.0,3,1,4,4,1,2,1,2,2,2,2,2,2,2,,,,1,2.0,1,8,4,1,20,6000,3,1,1,2,2,2,2,2,2,2,2,2,4,51.27
28,120,1859,1,AV GELATAO,TRANSPORTISTA,,1,54,1,9007,EJERCITO DE ORIENTE,,,7,9007,,,,4,1,7,0,7,50,2,0.0,,1,2.0,6.0,1.0,4,4,4,4,8,1,2,2,2,1,1,2,2,2,,,,2,,1,3,1,1,988888,3000,2,1,2,1,2,2,2,2,1,2,2,1,6,51.27
29,116,1800,2,ERMITA IZTAPALAPA,JAVIER ROJO GOMEZ,,1,27,1,9007,JALPA,,,2,9006,AGRICOLA ORIENTAL,,,5,1,10,0,10,45,1,1.0,3.0,1,1.0,7.0,1.0,3,3,4,4,7,2,1,2,2,1,1,2,2,2,,,,1,2.0,1,4,3,3,80,3700,3,1,2,4,2,2,1,2,2,2,2,2,3,77.31
30,117,1825,8,AV GAVILAN,GRAL RAUL HERRERA,,1,17,1,9007,SAN,MIGUEL,AV GAVILAN,5,9007,,,,5,10,17,15,18,45,2,0.0,,2,0.0,,8.0,1,1,1,2,11,2,2,2,2,2,2,2,2,2,,,,2,,1,5,3,1,0,999999,9,1,2,4,2,2,2,2,2,2,2,2,6,56.57
31,116,1808,10,ERMITA IZTAPALAPA,ROJO GOMEZ,,1,19,1,9007,SAN MIGUEL,,,2,9007,SAN PEDRO,,,5,1,15,0,15,30,2,0.0,,2,0.0,,2.0,4,3,4,3,3,2,2,2,2,2,2,2,2,2,,,,1,1.0,1,4,3,3,100,3000,2,1,2,2,1,2,2,2,2,2,2,2,4,77.31
32,115,1793,12,CAMINO ANTIGUO CULHUCAN,ARROYO TLALOC,,1,14,1,9010,COLORINES,,,4,9007,,,,5,4,16,0,16,45,2,0.0,,1,1.0,7.0,1.0,3,3,4,4,4,2,1,2,2,1,2,2,2,2,,,,2,,2,5,3,1,200,999999,9,1,2,4,1,2,2,2,2,2,2,2,4,31.83
33,125,1946,1,AV. JALISCO,AV. LAS PALMAS,,1,15,1,9007,SANTA MARIA,,,2,9007,SANTA MARIA,,,5,1,8,0,8,30,2,0.0,,2,0.0,,1.0,3,3,8,8,1,2,2,2,2,2,2,2,2,2,,,,2,,1,4,3,3,200,999999,4,1,2,4,2,2,2,2,2,2,2,2,4,34.44
34,126,1977,6,NI?OS HEROES,NI?OS HEROES,ERMITA IZTAPALAPA,1,53,5,9007,UNIDAD SANTA CRUZ,,,2,9007,FRANCISCO VILLA,,,1,1,10,0,10,15,2,0.0,,2,0.0,,1.0,3,4,4,4,10,2,1,2,2,1,1,2,2,1,2.0,9.0,1.0,1,1.0,1,3,2,6,100,999999,9,1,1,2,1,2,2,2,2,2,2,2,4,61.72
35,126,1991,20,NI?OS HEROES,NI?OS HEROES,ERMITA IZTAPALAPA,1,54,1,9007,PUEBLO SANTA CRUZ,,,4,9007,PUEBLO SANTA CRUZ,,,4,4,14,49,15,20,1,1.0,3.0,2,0.0,,1.0,4,4,4,4,1,2,2,2,2,2,2,2,2,1,2.0,9.0,1.0,2,,1,3,1,2,220,999999,9,1,2,3,2,2,2,2,2,2,2,2,4,61.72
36,126,1975,4,NI?OS HEROES,NI?OS HEROES,ERMITA IZTAPALAPA,1,43,1,9007,JACARANDA,,,2,9007,SANTA CRUZ,,,4,8,8,50,9,35,1,4.0,4.0,1,3.0,8.0,1.0,4,4,4,4,3,1,1,2,1,1,1,2,2,2,,,,1,2.0,1,4,3,3,300,4000,3,1,2,2,2,2,2,2,2,2,1,2,4,61.72
37,126,1973,2,NI?OS HEROES,ERMITA IZTAPALAPA,NI?OS HEROES,1,30,1,15058,METROPOLITANA,,,2,9007,SANTA CRUZ,,,5,1,8,20,9,10,1,1.0,4.0,2,0.0,,1.0,4,4,4,4,7,2,2,2,2,1,2,2,2,2,,,,1,1.0,1,5,3,1,50,8800,4,1,2,4,2,2,2,2,2,2,2,2,4,61.72
38,126,1999,28,NI?OS HEROES,NI?OS HEROES,ERMITA IZTAPALAPA,1,36,1,9007,DESARROLLO URBANO,,,4,9007,SANTA CRUZ,,,4,4,18,0,18,30,2,0.0,,2,0.0,,1.0,4,4,4,4,5,2,2,2,2,1,1,2,1,2,,,,2,,2,7,4,3,50,3000,2,1,2,4,2,2,2,2,1,2,2,2,4,61.72
39,126,1972,1,NI?OS HEROES,NI?OS HEROES,ERMITA IZTAPALAPA,1,38,1,9007,SANTA MARIA,,,2,9007,LAS PE?AS,,,5,1,8,0,8,52,2,0.0,,2,0.0,,2.0,4,4,4,4,10,2,2,2,2,2,2,1,2,2,,,,2,,1,4,3,3,988888,8000,4,1,2,4,2,2,2,2,1,2,2,2,4,61.72
40,141,2204,8,CAMINO DE SANTA TERESA,AV. MEXICO,,1,28,2,9008,SAN NICOLAS,FARMACIA GUADALAJARA,VARIS FARMACIAS,2,9999,,,,5,8,8,30,18,0,1,5.0,4.0,1,1.0,8.0,2.0,1,1,1,1,3,1,1,2,2,1,1,2,2,1,1.0,1.0,2.0,2,,1,3,2,6,35,988888,2,1,2,1,1,2,2,2,2,2,2,2,3,19.9
41,130,2058,22,AV. FRANCISCO TLALTENCO,AV. FRANCISCO TLALTENCO,AZTECAS,1,72,1,9011,ZAPOTITLAN,TIENDA,TORTILLERIA,4,9013,ZAPOTITLA,CAPILLA,FARMACIA,1,4,13,50,14,5,2,0.0,,2,0.0,,2.0,3,1,3,1,10,2,2,2,2,2,2,2,2,2,,,,1,2.0,1,4,2,2,30,1000,1,1,2,1,1,2,2,2,2,2,2,2,4,51.3
42,130,2045,7,AV. FRANCISCO TLALTENCO,AV. FRANCISCO TLALTENCO,AZTECAS,1,17,2,9007,YAQUI,MATERIALES PARA CONSTRUCCION,CARPINTERIA,1,9007,IZTACIHUATL,VERDULERIA,IGLESIA,5,2,9,36,10,0,2,0.0,,2,0.0,,1.0,3,2,3,3,7,1,2,2,2,2,2,2,2,2,,,,2,,1,3,2,6,100,988888,9,1,2,1,2,2,2,2,2,2,2,2,4,51.3
43,130,2066,30,AV. FRANCISCO TLALTENCO,AV. FRANCISCO TLALTENCO,AZTECAS,1,31,1,9007,DEGOLLADO,,,5,9007,SAN LORENZO,JERCERIA,TIENDA,5,10,14,50,15,48,2,0.0,,2,0.0,,1.0,3,3,3,3,1,1,1,1,1,1,1,1,1,2,,,,1,1.0,2,4,3,3,150,4000,3,1,2,1,2,2,2,2,2,2,2,2,4,51.3
44,132,2114,17,AV. VILLA FRANQUEZA,1ER RETORNO DE VILLA FRANQUEZA,,1,23,4,9007,DESARROLLO,,,1,9007,POZOS,,,5,2,11,0,11,40,2,0.0,,2,0.0,,1.0,4,4,4,4,2,2,2,2,2,2,2,2,2,1,1.0,5.0,2.0,2,,2,4,2,2,100,1000,1,1,2,2,2,1,2,2,2,2,2,2,4,34.01
45,131,2083,5,AV DEL ROSAL,CHINARA,,1,69,2,9007,EL ROSEDAL,,,2,9007,DESARROLLO URBANO,,,5,8,10,0,10,50,2,0.0,,1,2.0,8.0,1.0,4,4,4,4,2,2,1,2,1,1,1,1,1,2,,,,2,,1,4,3,3,50,8000,4,1,2,4,1,2,1,2,2,2,2,1,4,52.82
46,131,2086,8,AV DEL ARBOL,CHINARA,,1,20,1,9007,SANTA CRUZ,,,2,9007,AGRARISTA,,,5,1,12,0,12,20,2,0.0,,2,0.0,,1.0,4,4,4,4,1,2,2,2,2,1,1,2,2,2,,,,1,1.0,1,4,3,3,20,6300,4,1,2,4,2,2,2,2,2,2,2,2,4,52.82
47,135,2156,2,MARIANO MATAMOROS COL CONCEPCION,JUAN ALVAREZ,CANAL,1,50,1,9008,SAN NICOLAS,TENERIA,,2,9010,GUADALUPE INN,INSURGENTES,,3,1,15,55,16,30,2,0.0,,2,0.0,,2.0,4,1,2,1,1,2,2,2,2,2,2,2,2,1,2.0,8.0,1.0,2,,1,5,4,3,800,18000,6,1,2,1,2,2,2,2,2,2,2,2,4,14.57
48,137,2158,2,AV. SAN JERONOIMO,DEL ROSAL,,1,26,1,9008,POTRERILLO,,,7,9008,POTRERILLO,,,5,6,10,10,11,20,2,0.0,,1,1.0,8.0,1.0,3,2,4,4,2,1,1,2,2,1,2,2,1,1,2.0,3.0,1.0,2,,1,5,4,3,100,5000,3,1,2,4,2,2,1,2,2,2,2,2,4,40.64
49,138,2161,1,AV. SAN JERONIMO,AV. OJO DE AGUA,,1,23,7,9008,LOMAS DE SAN BERNABE,,,7,9008,LOMAS DE SAN BERNABE,,,2,6,8,30,8,50,2,0.0,,2,0.0,,2.0,2,2,4,1,2,1,1,2,2,1,2,2,2,1,2.0,1.0,2.0,2,,2,5,4,3,100,15000,5,1,2,2,2,2,1,2,2,2,2,2,4,8.66
50,140,2188,10,AV SAN LUIS CABRERA,AV PROLONGACION LAS TORRES,,1,13,1,9008,BARRIO SIERRA,,,7,9008,,,,2,9,12,25,12,38,2,0.0,,2,0.0,,2.0,1,1,2,1,2,2,2,2,2,2,2,2,2,1,2.0,9.0,1.0,2,,1,4,2,1,40,999999,9,1,2,4,2,2,1,2,2,2,2,2,3,12.2
51,139,2177,7,AVENIDA PALMAS,LOS COCOS,,1,22,1,9012,PEDREGAL,,,2,9008,EL ROSAL,,,8,1,13,0,13,45,1,8.0,4.0,2,0.0,,2.0,4,4,4,4,10,2,2,2,2,2,2,2,2,2,,,,2,,1,4,3,3,988888,5000,3,1,2,2,1,2,2,2,2,2,2,2,4,9.11
52,132,2110,13,AV. VILLA FRANQUEZA,1ER RETORNO DE VILLA FRANQUEZA,,1,32,1,9007,INSURGENTES,,,7,9007,DESARROLLO,,,4,4,10,15,11,0,1,1.0,4.0,1,1.0,6.0,1.0,4,4,4,4,1,2,1,2,2,1,2,2,2,1,2.0,6.0,2.0,1,1.0,2,3,2,6,150,3000,2,1,2,4,2,2,2,2,2,2,2,2,4,34.01
53,132,2142,46,AV. VILLA FRANQUEZA,1ER RETORNO DE VILLA FRANQUEZA,,1,50,2,9003,PASEOS DE TAXQUEÐA,,,1,9007,PALMITAS,,,3,2,16,30,18,30,1,2.0,4.0,2,0.0,,2.0,1,4,4,4,10,1,1,2,2,1,1,2,2,1,2.0,6.0,2.0,1,1.0,1,4,3,3,130,4000,3,1,2,2,2,2,1,2,2,2,2,2,4,34.01
54,132,2141,45,AV. VILLA FRANQUEZA,1ER RETORNO DE VILLA FRANQUEZA,,1,53,1,9007,DESARROLLO URBANO QUETZALCOATL,,,5,9007,SAN JOSE BUENAVISTA,,,5,5,18,0,18,20,2,0.0,,2,0.0,,2.0,4,4,4,8,8,1,1,2,2,1,1,2,1,1,1.0,2.0,2.0,2,,1,4,3,3,100,8000,4,1,2,4,2,2,2,2,2,2,2,2,4,34.01
55,132,2136,40,AV. VILLA FRANQUEZA,1ER RETORNO DE VILLA FRANQUEZA,,1,26,2,9007,DESARROLLO URBANO,,,1,9007,POLVORILLA,,,5,2,16,0,16,48,2,0.0,,2,0.0,,2.0,4,4,4,4,1,2,2,2,2,2,2,2,2,2,,,,2,,1,4,3,3,100,6000,3,1,2,4,2,2,2,2,2,2,2,2,4,34.01
56,151,2311,2,AV. CONSTITUYENTES,ACUEDUCTO,AV. DE LAS TORRES,1,50,1,9003,PEDREGAL STA URSULA,3 CUADRAS DEL ESTADIO AZTECA,POR TECNICA 67,2,9004,BOSQUES LAS LOMAS,EL EDIFICIO DEL PANTALON,POR EDIFICIO DE MAYA,3,8,10,30,11,50,1,1.0,3.0,2,0.0,,1.0,4,4,4,4,1,2,1,2,1,1,1,2,2,1,3.0,5.0,2.0,2,,1,5,4,3,600,8000,4,1,2,4,2,2,1,2,2,2,2,2,3,24.28
57,158,2385,7,SCHILLER,C. ELISEOS,MASARICK,1,20,2,9016,POLANCO,LA VICENTINA RESTAURANTE,,2,9016,POLANCO,,,5,8,15,20,15,50,1,1.0,4.0,1,1.0,8.0,1.0,4,4,4,4,2,2,1,2,2,2,2,2,2,2,,,,1,1.0,1,4,3,3,0,5000,3,1,2,2,1,1,1,2,2,2,2,2,4,99.05
58,148,2297,5,VOSGOS,AGUILAR Y SEJIAS,,1,27,2,9016,MIGUEL HIDALGO,GALERIA CUADROS,,1,9017,MAGDALENA MIXOCA,MERCADO DE JAMAICA,,4,2,11,5,12,40,1,1.0,2.0,2,0.0,,1.0,2,1,2,2,7,2,2,2,2,1,1,2,2,1,2.0,7.0,1.0,1,1.0,1,5,4,3,150,9000,4,1,2,1,2,2,1,2,2,2,2,2,4,16.77
59,146,2272,4,MARIANA NACIONAL,LAGUNA DE SAN CRISTOBAL,LAGO BALSEMA,1,55,1,9016,ANAHUAC,SANTA URSULA,,2,15057,ALCEBANCO,ZONA INDUSTRIAL,,2,1,8,50,9,30,2,0.0,,2,0.0,,8.0,1,1,1,2,2,1,2,2,2,1,1,2,1,2,,,,2,,1,5,3,1,100,5000,3,1,2,1,2,2,1,2,2,2,2,1,3,111.63
60,146,2279,12,AV. MARINA NACIONAL,LAGUNA DE SAN CRISTOBAL,LAGUNA DE TERMINOS,1,43,2,9016,HUICHAPAN,LA GASOLINERA,,2,9016,POPOTLA,OXXO,,4,8,14,15,14,48,2,0.0,,2,0.0,,1.0,1,1,2,4,2,1,1,1,1,1,1,2,2,2,,,,2,,1,4,2,2,25,3000,2,6,2,2,1,1,1,2,2,2,2,1,3,111.63
61,154,2332,5,REFORMA,CASTILLO DE WINDSOR,,1,14,1,9016,LOMAS REFORMA,REFORMA,CASTILLO DE WINDSOR,4,9016,LOMAS REFORMA,CASTILLO DE CHAPULTEPEC,REFORMA,4,4,16,34,16,52,2,0.0,,2,0.0,,2.0,1,1,1,1,1,2,1,2,2,1,2,2,2,1,2.0,98.0,1.0,2,,1,4,3,3,999999,1000,1,1,2,1,2,2,2,2,2,2,2,2,6,25.15
62,156,2346,7,LAGUNA DE MAYRAN,MARINA NACIONAL,LAGO CHAPALA,1,18,1,9016,SAN HIPOLITO,LAGO XOCHIMILCO,LAGUNA DE NACOZARI,4,9016,SAN HIPOLITO,,,4,4,14,42,15,6,2,0.0,,2,0.0,,1.0,2,2,2,2,10,2,2,2,2,2,2,2,2,2,,,,2,,1,5,4,3,988888,988888,9,1,2,4,1,2,2,2,2,2,2,1,2,92.55
63,158,2388,10,SCHILLER,C. ELISEOS,MASARYK,1,25,1,9015,TRANSITO,,,7,9017,TRANSITO,,,5,6,18,0,19,30,2,0.0,,1,1.0,7.0,1.0,4,4,4,4,10,2,1,2,2,1,1,2,1,2,,,,1,1.0,1,8,5,4,300,999999,9,1,2,1,2,2,1,2,2,2,2,2,4,99.05
64,159,2394,3,REFORMA,MAHATMA GHANDI,,1,34,2,9016,CDMX,LEGARIA,MERCADO MEXICO NUEVO,2,9015,ESCANDON,,,5,8,11,20,12,0,1,6.0,3.0,2,0.0,,1.0,3,2,4,4,5,2,1,2,1,1,1,1,1,2,,,,1,1.0,1,5,3,2,999999,988888,1,2,2,1,1,1,2,2,2,2,1,1,5,601.1
65,159,2393,1,MIHUEL HIDALGO,MAHATMA GANDHI,,1,30,1,9015,CDMX,CUAUHTEMOC,,2,9016,CDMX,MIGUEL HIDALGO,,3,1,10,40,11,10,2,0.0,,2,0.0,,1.0,4,4,4,4,10,1,1,1,1,1,1,2,1,2,,,,1,1.0,1,9,5,2,0,999999,6,2,1,2,2,1,2,2,2,2,2,2,5,601.1
66,163,110,8,FRAY SERVANDO TERESA DE MIER,AV. MORELOS,,1,73,4,9009,SAN ANTONIO TECOMITL,,,1,9009,SAN ANTONIO TECOMITL,,,2,2,10,26,10,45,1,1.0,4.0,1,1.0,6.0,1.0,1,2,1,2,1,1,1,2,2,2,1,1,1,1,2.0,9.0,1.0,1,1.0,1,4,3,3,200,999999,9,1,2,4,2,2,2,2,2,2,2,2,4,40.38051541
67,163,180,17,FRAY SERVANDO TERESA DE MIER,AV. MORELOS,,1,38,7,9009,LA LUPITA XULCO,,,1,9009,SAN ANTONIO TECOMITL,,,5,2,16,0,17,20,1,1.0,4.0,1,1.0,8.0,2.0,2,3,2,2,10,2,2,2,2,2,2,2,2,1,3.0,3.0,2.0,2,,1,3,1,4,100,999999,2,1,2,4,2,2,1,2,2,2,2,2,4,40.38051541
