id,punto_lev,id_unico,folio,calle_lev,calle_1,calle_2,resul,f1,p1,munori,p2_col,p2_ref1,p2_ref2,p3,mundes,p4_col,p4_ref1,p4_ref2,p5,p6,p7_hr,p7_min,p8_hr,p8_min,p9,p9_1,p10,p11,p11_1,p12,p13,p14_1,p14_2,p14_3,p14_4,p15,p16_1,p16_2,p16_3,p16_4,p16_5,p16_6,p16_7,p16_8,p17,p17_1,p17_2,p17_3,p18,p19,p20,p21_nivel,nivel,p21_ano,p22,p23,p23_1,p24,p24_1,p25,p26_1,p26_2,p26_3,p26_4,p26_5,p26_6,p26_7,p26_8,p27,factor
915,91,1408,5,LEON DE LOS ALDAMA,OCTUMBA,,1,32,1,9005,25 DE JULIO,RIO GRANDE,FRESNILLO,3,9005,SAN FELIPE DE JESUS,LEON ALDAMA,,5,3,12,15,13,5,1,1.0,4.0,2,0.0,,1.0,4,4,4,4,10,2,2,2,2,1,2,1,1,2,,,,1,2.0,2,5,4,3,200,999999,2,1,2,1,2,2,2,2,2,2,2,2,4,164.5
916,91,1406,3,LEON DE LOS ALDAMA,OCTUMBA,,1,60,1,9005,VALLE GUADALUPE,,,2,9005,NUEVA ATZACOALCO,,,4,1,7,0,9,0,1,6.0,4.0,1,1.0,6.0,2.0,2,2,2,2,10,2,2,2,2,2,2,2,2,2,,,,2,,2,3,2,6,60,999999,1,1,2,2,2,2,2,2,2,2,2,2,6,164.5
917,92,1444,22,EDUARDO MOLINA,FRAY SEBASTIAN DE APARICIO,,1,33,1,9005,NUEVA AZCAPOTZALCO,,,7,9005,VASCO DE QUIROGA,,,4,6,13,50,14,20,2,0.0,,2,0.0,,1.0,1,1,4,4,8,1,1,2,2,1,2,2,1,2,,,,2,,2,5,4,3,100,2600,2,1,2,1,1,2,1,2,2,2,2,1,1,15.21
918,80,1190,5,DARIO FERNANDEZ,ROBERTO PEDRAZA,DARIO FERNANDEZ,1,77,1,9005,LOMAS DE CUAHUTEPEC,,,5,9005,CASTILLO CHICO,,,5,10,10,10,10,50,1,1.0,2.0,1,2.0,6.0,1.0,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2.0,9.0,1.0,1,2.0,1,3,1,1,20,1200,2,1,2,1,1,2,2,2,2,2,2,2,4,27.57
919,92,1446,24,EDUARDO MOLINA,FRAY SEBASTIAN DE APARICIO,,1,62,2,9005,VASCO DE QUIROGA,,,4,9005,VASCO DE QUIROGA,,,4,4,14,46,14,55,2,0.0,,2,0.0,,1.0,4,1,4,4,7,1,1,1,1,1,1,1,1,1,1.0,3.0,2.0,1,1.0,1,8,4,2,300,3500,3,1,2,1,1,1,2,2,2,2,2,2,1,15.21
920,94,1501,15,FERROCARRIL HIDALGO HIDALGO,VICTORIA,FC HIDALGO,1,64,7,9005,ESTRELLA,,,2,9005,GPE TEPEYAC,ABEL,SARA,2,5,17,0,17,25,2,0.0,,2,0.0,,1.0,4,4,4,4,3,2,2,2,2,2,2,2,2,2,,,,2,,1,3,2,6,270,6000,3,1,2,2,2,1,2,2,2,2,2,2,4,110.99
921,92,1457,35,EDUARDO MOLINA,FRAY SEBASTIAN DE APARICIO,,1,24,1,9005,PROVIDENCIA,,,7,9005,VASCO DE QUIROGA,,,4,9,17,30,18,0,2,0.0,,2,0.0,,1.0,1,1,1,3,1,1,1,1,1,1,1,1,1,2,,,,2,,1,5,4,3,988888,4400,3,1,2,4,2,2,1,2,2,2,2,2,1,15.21
922,77,1144,9,BAJA CALIFORNIA,BAJA CALIFORNIA,MONTERREY,1,34,3,9006,MEXOCO,,,1,9010,PLATEROS,,,5,2,11,30,13,0,2,0.0,,2,0.0,,1.0,1,1,1,1,7,2,1,2,2,2,2,2,2,1,2.0,9.0,1.0,1,1.0,1,8,4,2,100,8000,4,1,2,4,2,2,1,2,2,2,2,2,3,74.5
923,77,1140,5,BAJA CALIFORNIA,BAJA CALIFORNIA,MONTERREY,1,34,1,9015,ALGARIN,,,2,9014,DEL VALLE,,,2,1,9,30,9,55,2,0.0,,2,0.0,,1.0,1,1,2,3,1,1,2,2,2,2,2,2,2,1,2.0,3.0,2.0,2,,1,8,5,4,100,10000,4,1,2,4,2,2,1,2,2,2,2,2,3,74.5
924,78,1156,1,SAN MIGUEL,SAN ANGEL,,1,47,1,9005,CUAUTEPEC BARRIO ALTO,,,5,9005,CUAUTEPEC BARRIO ALTO,,,3,6,9,30,10,50,1,4.0,3.0,1,2.0,8.0,2.0,4,1,4,1,1,2,1,2,1,1,1,2,1,2,,,,1,1.0,1,8,5,4,200,999999,3,6,2,1,2,2,2,2,2,2,2,2,4,13.74
925,77,1136,1,BAJA CALIFORNIA,BAJA CALIFORNIA,MONTERREY,1,38,1,9015,ROMA,,,2,9015,ROMA,,,4,1,7,40,8,5,2,0.0,,2,0.0,,1.0,1,1,3,3,3,2,2,2,2,2,1,2,2,2,,,,1,2.0,1,4,3,3,50,2800,2,1,2,4,2,2,1,2,2,2,2,2,4,74.5
926,76,1105,11,DR. IGNACIO MORONES PRIETO,DR. JOSE MARIA VERTIZ,DR. IGNACIO M PRIETO,1,30,1,9015,BUENOS AIRES,,,2,9015,DOCTORES,,,4,1,11,30,12,50,2,0.0,,2,0.0,,2.0,1,1,1,1,8,1,1,1,1,1,1,2,2,2,,,,2,,1,6,4,3,200,999999,5,1,2,4,2,2,1,2,2,2,2,2,6,29.68
