short_name,origin,destination,global_events,lat,lon,capacity
449,34152.0,33704,67856.0,19.420281,-99.174392,27
042,34216.0,33253,67469.0,19.420627,-99.16821,23
123,32592.0,34787,67379.0,19.424161,-99.153117,27
034,34032.0,33130,67162.0,19.42472751913646,-99.16334755721435,23
126,35393.0,31532,66925.0,19.422288,-99.162138,34
464,33160.0,33668,66828.0,19.442421,-99.199838,19
125,31927.0,34691,66618.0,19.424197,-99.156127,35
476,31679.0,34485,66164.0,19.442127,-99.184433,35
075,32129.0,33490,65619.0,19.408740687234836,-99.17677424853537,33
179,31952.0,33584,65536.0,19.404435569698265,-99.17138099675866,27
167,31966.0,33453,65419.0,19.404608864422567,-99.1794095188925,23
023,30290.0,34934,65224.0,19.42528,-99.171099,36
067,32259.0,32761,65020.0,19.411813726946605,-99.17595729242748,23
080,31639.0,32833,64472.0,19.407239898913133,-99.17207747708744,35
011,31436.0,32927,64363.0,19.431192,-99.163546,15
002,31567.0,32453,64020.0,19.430495377066244,-99.17115971451493,23
173,31422.0,32585,64007.0,19.401682,-99.176398,23
399,32461.0,31278,63739.0,19.372469,-99.164538,35
024,30253.0,33276,63529.0,19.426614,-99.168078,19
166,30743.0,32715,63458.0,19.406069,-99.183549,23
144,33266.0,30120,63386.0,19.415192,-99.154837,27
152,30708.0,32274,62982.0,19.409098,-99.167181,35
185,31001.0,31563,62564.0,19.412776,-99.182805,29
118,31951.0,30297,62248.0,19.427114,-99.158251,19
405,31434.0,30043,61477.0,19.370565558464016,-99.15662247688942,27
475,30462.0,30980,61442.0,19.439249,-99.181065,23
063,30809.0,30339,61148.0,19.413091238892452,-99.1716201604504,35
255,29181.0,31874,61055.0,19.437118,-99.161862,35
120,30256.0,30458,60714.0,19.425437,-99.159458,15
129,31298.0,29305,60603.0,19.4206,-99.163312,23
065,32432.0,27819,60251.0,19.436522,-99.139811,19
051,31119.0,29076,60195.0,19.418031,-99.168435,27
474,31483.0,28526,60009.0,19.438984,-99.177549,31
085,28872.0,30706,59578.0,19.434059327049166,-99.16243817658597,15
048,30236.0,29235,59471.0,19.433705,-99.146665,11
099,31232.0,28179,59411.0,19.429947,-99.14591,27
211,24390.0,34768,59158.0,19.433607,-99.188528,35
044,28344.0,30480,58824.0,19.418141,-99.17470900000001,27
012,28726.0,29753,58479.0,19.432223,-99.161686,15
022,26064.0,32340,58404.0,19.424784,-99.172119,35
303,31445.0,26840,58285.0,19.394861698080163,-99.17300574486944,26
553,28127.0,29388,57515.0,19.442,-99.1593333,35
165,28860.0,28362,57222.0,19.404268,-99.160503,23
077,27858.0,29175,57033.0,19.406745,-99.178272,15
181,28228.0,28658,56886.0,19.404825166337652,-99.17472235863897,27
151,28971.0,27899,56870.0,19.410529,-99.160873,27
113,28502.0,28269,56771.0,19.430369,-99.154419,15
110,28832.0,27842,56674.0,19.425126,-99.143391,35
143,28915.0,27569,56484.0,19.414303,-99.157542,23
076,27748.0,28674,56422.0,19.4086886,-99.169938,19
147,28574.0,27737,56311.0,19.412182,-99.158443,27
112,28739.0,27416,56155.0,19.432819,-99.151734,23
081,27689.0,28070,55759.0,19.407927,-99.168734,27
155,28085.0,27381,55466.0,19.408218,-99.159911,35
026,27248.0,27950,55198.0,19.432595,-99.154995,15
384,26692.0,28300,54992.0,19.375865,-99.185573,23
132,28463.0,26348,54811.0,19.420667,-99.15645,23
055,29303.0,25499,54802.0,19.434514,-99.138068,15
281,29099.0,25680,54779.0,19.398532,-99.157308,31
164,27917.0,26800,54717.0,19.403204,-99.16596,27
114,27892.0,26799,54691.0,19.428989,-99.153618,23
467,25995.0,28692,54687.0,19.440399,-99.186784,27
222,27133.0,27134,54267.0,19.431417,-99.195774,27
140,26969.0,27064,54033.0,19.416596,-99.156879,19
305,27072.0,26725,53797.0,19.394693,-99.175531,31
256,26197.0,27570,53767.0,19.437128,-99.158363,23
291,26417.0,27313,53730.0,19.397651,-99.169946,35
315,28382.0,24610,52992.0,19.391444264426035,-99.17368702595921,27
148,25949.0,26707,52656.0,19.412829,-99.155116,21
109,27220.0,25436,52656.0,19.425311,-99.137421,31
170,25902.0,26630,52532.0,19.404029,-99.184342,23
549,26592.0,25688,52280.0,19.4450444,-99.1571333,27
009,25474.0,26627,52101.0,19.428184,-99.170013,19
450,26365.0,25642,52007.0,19.43832573320297,-99.15223784747468,31
169,26055.0,25908,51963.0,19.403019,-99.174934,23
327,25316.0,26607,51923.0,19.38885,-99.17772,23
284,26649.0,24995,51644.0,19.397693,-99.172981,31
073,25426.0,26189,51615.0,19.410073,-99.175542,35
021,22812.0,28686,51498.0,19.424809702659765,-99.1717654466629,25
551,25416.0,25870,51286.0,19.4435806,-99.1648833,23
146,25592.0,25180,50772.0,19.410699360989387,-99.16587710386011,23
095,26433.0,24305,50738.0,19.430682555945197,-99.1337009892004,19
254,24298.0,26264,50562.0,19.439347,-99.160074,31
668,24838.0,25210,50048.0,19.367522,-99.181727,33
083,24122.0,25765,49887.0,19.40655,-99.172275,15
186,23899.0,25571,49470.0,19.412455,-99.188489,15
261,25938.0,23367,49305.0,19.42491,-99.172455,43
259,25118.0,24016,49134.0,19.437569,-99.15468,27
253,24169.0,24451,48620.0,19.42644758104329,-99.17815290396902,19
207,25480.0,23044,48524.0,19.434861,-99.183322,23
233,23921.0,24228,48149.0,19.429314,-99.196965,15
163,25551.0,22566,48117.0,19.405245999999998,-99.15643,35
480,23437.0,24416,47853.0,19.446073,-99.181654,19
369,23699.0,23934,47633.0,19.379941,-99.177224,35
092,24263.0,23303,47566.0,19.436531,-99.131497,23
226,24788.0,22692,47480.0,19.431044265870334,-99.18220639234278,27
130,24948.0,22270,47218.0,19.421576,-99.158015,23
105,24260.0,22910,47170.0,19.426755,-99.135014,23
341,23303.0,23726,47029.0,19.382889,-99.158352,31
206,24237.0,22686,46923.0,19.436142,-99.200996,23
228,19788.0,26994,46782.0,19.427705,-99.19912,19
310,22829.0,23677,46506.0,19.395316464981526,-99.18172560637684,15
127,23061.0,23372,46433.0,19.423318,-99.15833,27
250,24866.0,21539,46405.0,19.428949,-99.179796,23
546,22529.0,23226,45755.0,19.448764,-99.156817,23
412,23780.0,21917,45697.0,19.368107,-99.164376,34
276,22787.0,22701,45488.0,19.401986,-99.156366,19
300,21741.0,23433,45174.0,19.393228574754442,-99.16839435702059,23
004,23636.0,21504,45140.0,19.428491,-99.171693,19
035,23011.0,22097,45108.0,19.424558,-99.163518,41
306,22662.0,22317,44979.0,19.393699,-99.175664,35
008,21566.0,23201,44767.0,19.431256,-99.158153,17
455,19522.0,24587,44109.0,19.426308,-99.2033,23
103,20175.0,23893,44068.0,19.441533,-99.165268,31
389,21852.0,22167,44019.0,19.373438,-99.179531,39
286,20441.0,22991,43432.0,19.399201,-99.179943,19
427,21676.0,21164,42840.0,19.364905637923787,-99.1629866883295,19
161,20905.0,21918,42823.0,19.405533,-99.164913,23
308,20497.0,22295,42792.0,19.393643,-99.178156,31
312,20758.0,21792,42550.0,19.39270929935713,-99.18373167525715,27
374,21563.0,20784,42347.0,19.376959,-99.161099,31
223,19979.0,22287,42266.0,19.431242,-99.191613,35
258,20641.0,21495,42136.0,19.4165298,-99.1790435,33
337,20749.0,21244,41993.0,19.384849,-99.16704,19
062,20590.0,21385,41975.0,19.41331637033966,-99.17530506854746,19
